tour_id,senti,senti_count,senti_sum,senti_avg
176,"[['감사', 2], ['강추', 2], ['고급', 2], ['만족', 2], ['칭찬', 2], ['행복', 2], ['개성', 1], ['믿음', 1], ['신뢰', 1], ['전문가', 1], ['진리', 1], ['불편', -2]]",12,15,1.25
179,"[['최고', 2]]",1,2,2.0
180,"[['만족', 2], ['사랑', 2], ['최고', 2], ['ㅆ', 1], ['빛', 1], ['안심', 1], ['친구', 1], ['불편', -2], ['욕', -2]]",9,6,0.6666666666666666
181,"[['필수', 1]]",1,1,1.0
182,"[['강추', 2], ['최고', 2], ['여유', 1], ['친구', 1], ['ㅠ', -1], ['불편', -2], ['우울', -2], ['해', -2]]",8,-1,-0.125
184,"[['강추', 2], ['만족', 2], ['최고', 2], ['친절', 2], ['인정', 1], ['정', 1], ['친구', 1], ['짐', -1], ['최악', -2]]",9,8,0.8888888888888888
187,"[['강추', 2], ['최상급', 2], ['친절', 2], ['해', -2]]",4,4,1.0
189,"[['맛', 2], ['최고', 2], ['친절', 2], ['ㅠ', -1], ['부담', -2]]",5,3,0.6
197,"[['할인', 1], ['최악', -2], ['허', -2], ['환상', -2]]",4,-5,-1.25
198,"[['최고', 2]]",1,2,2.0
199,"[['강추', 2], ['여유', 1]]",2,3,1.5
201,"[['강추', 2], ['편안', 2]]",2,4,2.0
203,"[['미소', 2], ['친구', 1]]",2,3,1.5
205,"[['최고', 2], ['고통', -2]]",2,0,0.0
206,"[['감사', 2], ['최고', 2], ['친절', 2]]",3,6,2.0
209,"[['불편', -2]]",1,-2,-2.0
210,"[['최고', 2], ['기대', 1], ['낭비', -1]]",3,2,0.6666666666666666
211,"[['강추', 2], ['재미', 2], ['최고', 2], ['보람', 1]]",4,7,1.75
212,"[['감사', 2], ['최고', 2], ['필수', 1], ['휴식', 1], ['앞잡이', -1], ['머저리', -2], ['해', -2]]",7,1,0.14285714285714285
213,"[['최고', 2], ['친절', 2], ['기대', 1], ['도움', 1], ['흥미', 1], ['의심', -1], ['최악', -2]]",7,4,0.5714285714285714
214,"[['최고', 2], ['친절', 2], ['편안', 2], ['기대', 1], ['짐', -1], ['더러운', -2], ['불편', -2], ['욕', -2]]",8,0,0.0
215,"[['감동', 2], ['감사', 2], ['만족', 2], ['최고', 2], ['친절', 2], ['특권', 2], ['가치', 1], ['강세', 1], ['도움', 1], ['정', 1], ['휴식', 1], ['ㅠ', -1], ['부족', -1], ['실망', -2], ['욕', -2]]",15,11,0.7333333333333333
217,"[['최고', 2]]",1,2,2.0
218,"[['강추', 2], ['즐거움', 2], ['최고', 2], ['낭만', 1], ['할인', 1]]",5,8,1.6
219,"[['감동', 2], ['강추', 2], ['아름다움', 2], ['최고', 2], ['친절', 2], ['호의', 2], ['필수', 1], ['불편', -2], ['후회', -2]]",9,9,1.0
222,"[['강추', 2], ['고급', 2], ['최고', 2], ['친절', 2], ['아쉬움', -1], ['불만', -2], ['실망', -2]]",7,3,0.42857142857142855
223,"[['최고', 2]]",1,2,2.0
227,"[['고급', 2], ['맛', 2], ['최고', 2], ['친절', 2], ['적극', 1], ['친구', 1], ['해', -2], ['화', -2]]",8,6,0.75
229,"[['만족', 2], ['바른', 2], ['상위', 2], ['최고', 2], ['행복', 2], ['대상', 1], ['도움', 1], ['정', 1], ['화하', 1], ['성', 0], ['ㅉ', -1], ['미안', -1], ['싸움', -1], ['의회', -1], ['지지', -1], ['피해', -1], ['결석', -2], ['더러운', -2], ['무단', -2], ['병', -2], ['우울증', -2], ['잘못', -2], ['해', -2], ['혐오', -2]]",24,-8,-0.3333333333333333
230,"[['최고', 2], ['활기', 2], ['거짓말', -2], ['불쾌감', -2]]",4,0,0.0
231,"[['최고', 2]]",1,2,2.0
232,"[['감사', 2], ['만족', 2], ['맛', 2], ['최고', 2], ['친절', 2], ['적극', 1], ['진리', 1], ['걱정', -2]]",8,10,1.25
235,"[['최고', 2], ['병', -2], ['부담', -2]]",3,-2,-0.6666666666666666
236,"[['강추', 2], ['고급', 2], ['만족', 2], ['맛', 2], ['미소', 2], ['장점', 2], ['최고', 2], ['실속', 1], ['안심', 1], ['필수', 1], ['합리적', 1], ['ㅠ', -1], ['짐', -1], ['병', -2], ['부담', -2], ['최악', -2]]",16,10,0.625
237,"[['만족', 2], ['최고', 2], ['친절', 2], ['ㅠ', -1], ['부족', -1], ['불편', -2]]",6,2,0.3333333333333333
238,"[['감사', 2], ['강추', 2], ['고급', 2], ['만족', 2], ['장점', 2], ['조화', 2], ['최고', 2], ['최상급', 2], ['친절', 2], ['행복', 2], ['벗', 1], ['운', 1], ['재치', 1], ['정', 1], ['성', 0], ['실망', -2], ['최악', -2]]",17,20,1.1764705882352942
240,"[['감사', 2], ['고급', 2], ['만족', 2], ['사랑', 2], ['최고', 2], ['친절', 2], ['도리', 1], ['도움', 1], ['발전', 1], ['부자', 1], ['이벤트', 1], ['최상', 1], ['친구', 1], ['미안', -1], ['의심', -1], ['분노', -2]]",16,15,0.9375
241,"[['만족', 2], ['최고', 2], ['친절', 2], ['기대', 1], ['운', 1], ['정', 1], ['성', 0], ['피', 0], ['ㅜ', -1], ['먼지', -1], ['아쉬움', -1], ['실망', -2]]",12,4,0.3333333333333333
242,"[['강추', 2], ['고급', 2], ['최고', 2], ['축하', 2], ['편리', 2], ['친구', 1], ['할인', 1], ['해', -2]]",8,10,1.25
244,"[['개선', 2], ['최고', 2], ['친절', 2], ['정', 1], ['아쉬움', -1], ['실망', -2]]",6,4,0.6666666666666666
248,"[['친절', 2]]",1,2,2.0
250,"[['최고', 2], ['가르침', 1], ['극락', 1], ['스트레스', -2]]",4,2,0.5
252,"[['감동', 2], ['강추', 2], ['맛', 2], ['최고', 2], ['친절', 2], ['친구', 1], ['ㅠ', -1], ['식상', -1], ['아쉬움', -1], ['후회', -2]]",10,6,0.6
254,"[['최악', -2]]",1,-2,-2.0
255,"[['득', 2], ['친절', 2], ['세일', 1], ['수선', -1]]",4,4,1.0
256,"[['감사', 2], ['친절', 2]]",2,4,2.0
258,"[['최고', 2], ['정', 1], ['친구', 1]]",3,4,1.3333333333333333
259,"[['만족', 2]]",1,2,2.0
260,"[['최고', 2]]",1,2,2.0
261,"[['맛', 2], ['사랑', 2], ['최고', 2], ['칭찬', 2], ['기대', 1], ['실속', 1], ['못', 0], ['성', 0], ['아쉬움', -1], ['실망', -2], ['짜증', -2]]",11,5,0.45454545454545453
263,"[['감동', 2], ['고급', 2], ['만족', 2], ['최고', 2], ['친절', 2], ['행복', 2], ['안심', 1]]",7,13,1.8571428571428572
264,"[['최고', 2], ['친절', 2]]",2,4,2.0
265,"[['친절', 2]]",1,2,2.0
266,"[['만족', 2], ['최고', 2], ['ㅠ', -1]]",3,3,1.0
270,"[['부담', -2]]",1,-2,-2.0
271,"[['최고', 2]]",1,2,2.0
272,"[['최고', 2], ['치욕', -2]]",2,0,0.0
273,"[['맛', 2], ['기대', 1], ['실망', -2], ['죄', -2], ['짜증', -2]]",5,-3,-0.6
274,"[['협박', -2]]",1,-2,-2.0
275,"[['최고', 2], ['ㅠ', -1]]",2,1,0.5
276,"[['최고', 2]]",1,2,2.0
277,"[['최고', 2], ['편안', 2], ['여유', 1], ['유명', 1], ['정', 1], ['욕심', -1], ['불편', -2]]",7,4,0.5714285714285714
278,"[['맛', 2], ['최고', 2], ['기대', 1], ['최악', -2]]",4,3,0.75
279,"[['강추', 2], ['최고', 2], ['최고', 2], ['기대', 1], ['따름', 1], ['윤기', 1]]",6,9,1.5
281,"[['최고', 2]]",1,2,2.0
283,"[['미안', -1]]",1,-1,-1.0
285,"[['최고', 2]]",1,2,2.0
288,"[['강추', 2], ['친절', 2], ['편리', 2], ['친구', 1]]",4,7,1.75
290,"[['감사', 2], ['강추', 2], ['맛', 2], ['장점', 2], ['최고', 2], ['기대', 1], ['대접', 1], ['존중', 1], ['친구', 1], ['중독', -1], ['짐', -1], ['충격', -1], ['배탈', -2], ['스트레스', -2], ['실망', -2], ['최악', -2], ['해', -2], ['화', -2]]",18,-1,-0.05555555555555555
291,"[['강추', 2], ['만족', 2], ['최고', 2], ['피', 0], ['ㅉ', -1], ['부족', -1]]",6,4,0.6666666666666666
295,"[['최고', 2]]",1,2,2.0
296,"[['최고', 2]]",1,2,2.0
297,"[['고급', 2], ['최고', 2]]",2,4,2.0
300,"[['즐거움', 2], ['친절', 2], ['대접', 1], ['정', 1], ['걱정', -2], ['실망', -2]]",6,2,0.3333333333333333
302,"[['최고', 2]]",1,2,2.0
308,"[['최고', 2], ['불편', -2], ['짜증', -2]]",3,-2,-0.6666666666666666
309,"[['소음', -1]]",1,-1,-1.0
310,"[['최고', 2], ['친절', 2], ['대접', 1], ['억지', -1], ['불편', -2], ['최악', -2]]",6,0,0.0
312,"[['감사', 2], ['사랑', 2], ['최고', 2], ['친절', 2], ['대가', 1], ['정', 1], ['실수', -1], ['걱정', -2], ['바보', -2], ['잘못', -2]]",10,3,0.3
313,"[['사랑', 2], ['최고', 2], ['낭만', 1], ['연애', 1], ['친구', 1]]",5,7,1.4
314,"[['덕', 2], ['최고', 2], ['친절', 2], ['ㅇ', 1], ['도리', 1], ['정', 1], ['친구', 1], ['ㅠ', -1], ['짐', -1]]",9,8,0.8888888888888888
315,"[['감탄', 2], ['고급', 2], ['귀', 2], ['만족', 2], ['맛', 2], ['멋', 2], ['조화', 2], ['최고', 2], ['친절', 2], ['행복', 2], ['기대', 1], ['도리', 1], ['도움', 1], ['보람', 1], ['여유', 1], ['운', 1], ['재주', 1], ['정', 1], ['정상', 1], ['신경질', -1], ['의심', -1], ['짐', -1], ['피해', -1], ['불편', -2], ['욕', -2], ['최악', -2], ['후회', -2]]",27,17,0.6296296296296297
316,"[['감사', 2], ['최고', 2], ['진리', 1], ['피', 0], ['시비', -2]]",5,3,0.6
317,"[['최고', 2], ['신뢰', 1], ['고집', -1]]",3,2,0.6666666666666666
320,"[['맛', 2], ['친절', 2]]",2,4,2.0
321,"[['친절', 2]]",1,2,2.0
322,"[['만족', 2], ['친절', 2], ['최악', -2]]",3,2,0.6666666666666666
323,"[['만족', 2], ['맛', 2], ['친절', 2], ['최악', -2]]",4,4,1.0
326,"[['최고', 2], ['의심', -1]]",2,1,0.5
327,"[['만족', 2], ['최고', 2], ['희락', 2], ['불편', -2]]",4,4,1.0
333,"[['맛있', 2], ['최고', 2], ['가치', 1], ['기대', 1]]",4,6,1.5
334,"[['겁', -1], ['최악', -2]]",2,-3,-1.5
335,"[['겁', -1], ['최악', -2]]",2,-3,-1.5
336,"[['득', 2], ['재미', 2], ['최고', 2], ['친절', 2], ['활기', 2], ['걱정', -2], ['망신', -2], ['욕', -2]]",8,4,0.5
338,"[['강추', 2], ['덕', 2], ['맛', 2], ['열광', 2], ['최고', 2], ['친절', 2], ['ㅇ', 1], ['기대', 1], ['보람', 1], ['용기', 1], ['정', 1], ['모양', 0], ['ㅠ', -1], ['중독', -1], ['짐', -1], ['욕', -2], ['최악', -2], ['환상', -2], ['후회', -2]]",19,6,0.3157894736842105
339,"[['고급', 2], ['장점', 2], ['최고', 2], ['경상', -2], ['불편', -2]]",5,2,0.4
341,"[['최고', 2], ['벗', 1], ['혜택', 1], ['ㅜ', -1], ['부족', -1], ['상혼', -2], ['질색', -2], ['해', -2]]",8,-4,-0.5
342,"[['최고', 2], ['빛', 1]]",2,3,1.5
343,"[['감동', 2], ['감사', 2], ['만족', 2], ['ㅜ', -1], ['겁', -1], ['짐', -1], ['곰팡이', -2], ['불편', -2]]",8,-1,-0.125
344,"[['강추', 2], ['만족', 2], ['맛', 2], ['조화', 2], ['최고', 2], ['친절', 2], ['칭찬', 2], ['기대', 1], ['인정', 1], ['친구', 1], ['ㅜ', -1], ['ㅠ', -1], ['미안', -1], ['피해', -1], ['봉변', -2], ['불안', -2], ['최악', -2]]",17,7,0.4117647058823529
345,"[['멋', 2], ['아름다움', 2], ['재미', 2], ['최고', 2], ['기대', 1], ['여유', 1], ['휴식', 1]]",7,11,1.5714285714285714
346,"[['멋', 2], ['미소', 2], ['안전', 2], ['최고', 2], ['편리', 2], ['여유', 1], ['ㅠ', -1], ['기침', -1], ['짐', -1], ['추위', -1], ['장애인', -2]]",11,5,0.45454545454545453
348,"[['멋', 2], ['미소', 2], ['사랑', 2], ['최고', 2], ['편안', 2], ['행복', 2], ['기대', 1], ['여유', 1], ['연애', 1], ['운', 1], ['인기', 1], ['정상', 1], ['친구', 1], ['필수', 1], ['성', 0], ['눈물', -1], ['짐', -1], ['피해', -1], ['소름', -2], ['어려움', -2], ['후회', -2]]",21,11,0.5238095238095238
351,"[['감동', 2], ['충격', -1]]",2,1,0.5
352,"[['감동', 2], ['감사', 2], ['만족', 2], ['ㅜ', -1], ['겁', -1], ['짐', -1], ['곰팡이', -2], ['불편', -2]]",8,-1,-0.125
355,"[['최고', 2], ['이벤트', 1], ['친구', 1], ['할인', 1]]",4,5,1.25
356,"[['식중독', -1]]",1,-1,-1.0
359,"[['만족', 2], ['장점', 2], ['최고', 2], ['최상', 1]]",4,7,1.75
361,"[['명성', 2], ['친절', 2], ['기대', 1], ['자신감', 1], ['못', 0], ['ㅜ', -1], ['미안', -1], ['불편', -2], ['잘못', -2], ['최악', -2], ['화가', -2]]",11,-4,-0.36363636363636365
362,"[['최고', 2], ['낭만', 1]]",2,3,1.5
363,"[['강추', 2], ['만족', 2], ['최고', 2], ['친절', 2], ['친구', 1], ['소음', -1], ['실망', -2]]",7,6,0.8571428571428571
364,"[['감사', 2], ['만족', 2], ['명성', 2], ['최고', 2], ['ㅇ', 1], ['가치', 1], ['교양', 1], ['예의', 1], ['친구', 1], ['ㅅ', -1], ['ㅜ', -1], ['겁', -1], ['저급', -1], ['짐', -1], ['호', -1], ['호', -1], ['거짓말', -2], ['마이너스', -2], ['병', -2], ['부담', -2], ['불편', -2], ['실망', -2], ['짜증', -2], ['천박', -2], ['해', -2], ['흐린', -2]]",26,-14,-0.5384615384615384
365,"[['감동', 2], ['최고', 2], ['친절', 2], ['편리', 2], ['깨달음', 1], ['성', 0], ['ㅠ', -1], ['부족', -1], ['짐', -1], ['거짓말', -2], ['불편', -2], ['상처', -2], ['욕', -2], ['최악', -2]]",14,-4,-0.2857142857142857
366,"[['탈', -1]]",1,-1,-1.0
367,"[['곰팡이', -2]]",1,-2,-2.0
369,"[['최고', 2], ['친절', 2]]",2,4,2.0
371,"[['친절', 2], ['고함', -1]]",2,1,0.5
375,"[['강추', 2], ['최고', 2], ['행복', 2], ['인기', 1], ['불편', -2], ['최악', -2]]",6,3,0.5
376,"[['친절', 2]]",1,2,2.0
377,"[['친절', 2], ['정', 1]]",2,3,1.5
379,"[['맛', 2], ['최고', 2], ['필수', 1], ['피', 0], ['기침', -1]]",5,4,0.8
380,"[['최고', 2]]",1,2,2.0
382,"[['멋', 2], ['재미', 2], ['최고', 2], ['안도', 1], ['여유', 1], ['운', 1], ['피', 0], ['먼지', -1], ['걱정', -2], ['불편', -2]]",10,4,0.4
383,"[['최고', 2]]",1,2,2.0
385,"[['감탄', 2], ['강추', 2], ['맛', 2], ['조화', 2], ['최고', 2], ['친절', 2], ['가치', 1], ['인기', 1], ['정', 1], ['친구', 1], ['필수', 1], ['ㅠ', -1], ['겁', -1], ['부족', -1], ['짐', -1], ['노', -2], ['부담', -2], ['불편', -2], ['실망', -2], ['최악', -2], ['해', -2], ['환상', -2]]",22,-1,-0.045454545454545456
386,"[['친구', 1]]",1,1,1.0
387,"[['강추', 2], ['고급', 2], ['맛', 2], ['최고', 2], ['친구', 1], ['불편', -2]]",6,7,1.1666666666666667
389,"[['최고', 2]]",1,2,2.0
390,"[['최고', 2]]",1,2,2.0
395,"[['친절', 2]]",1,2,2.0
396,"[['맛', 2], ['최고', 2], ['정상', 1], ['실망', -2]]",4,3,0.75
398,"[['최고', 2]]",1,2,2.0
399,"[['최고', 2], ['친절', 2]]",2,4,2.0
401,"[['최고', 2]]",1,2,2.0
402,"[['맛', 2], ['기대', 1], ['정', 1], ['아쉬움', -1], ['실망', -2]]",5,1,0.2
403,"[['짜증', -2]]",1,-2,-2.0
406,"[['최고', 2], ['친절', 2]]",2,4,2.0
408,"[['최고', 2], ['부담', -2]]",2,0,0.0
410,"[['친절', 2]]",1,2,2.0
411,"[['최고', 2], ['대접', 1], ['아쉬움', -1], ['병', -2]]",4,0,0.0
412,"[['최고', 2]]",1,2,2.0
413,"[['최고', 2]]",1,2,2.0
414,"[['친절', 2]]",1,2,2.0
415,"[['친절', 2]]",1,2,2.0
416,"[['친절', 2]]",1,2,2.0
417,"[['맛', 2]]",1,2,2.0
420,"[['최고', 2]]",1,2,2.0
422,"[['친절', 2], ['짐', -1]]",2,1,0.5
426,"[['맛', 2], ['친절', 2]]",2,4,2.0
427,"[['덕', 2], ['독창적', 2], ['사랑', 2], ['최고', 2], ['편안', 2], ['가치', 1], ['따름', 1], ['여유', 1], ['창의', 1], ['할인', 1], ['흥미', 1], ['짐', -1], ['부상', -2], ['어려움', -2]]",14,11,0.7857142857142857
428,"[['최고', 2]]",1,2,2.0
429,"[['최고', 2], ['친절', 2], ['발전', 1], ['특이', 1], ['설레발', -1]]",5,5,1.0
432,"[['강추', 2], ['맛', 2], ['최고', 2], ['친절', 2], ['가치', 1], ['식상', -1], ['싸움', -1], ['분탕', -2], ['실망', -2], ['욕', -2], ['최악', -2]]",11,-1,-0.09090909090909091
433,"[['강추', 2], ['고급', 2], ['맛', 2], ['최고', 2], ['칭찬', 2], ['친구', 1], ['필수', 1], ['못', 0], ['겁', -1], ['최악', -2], ['해', -2]]",11,7,0.6363636363636364
437,"[['만족', 2], ['여유', 1], ['친구', 1], ['부담', -2]]",4,2,0.5
442,"[['강추', 2], ['덕', 2], ['친절', 2], ['친절', 2], ['기대', 1], ['여유', 1], ['운', 1], ['이벤트', 1], ['진리', 1], ['친구', 1], ['할인', 1], ['모양', 0], ['실망', -2], ['최악', -2]]",14,11,0.7857142857142857
443,"[['귀요', 2], ['사랑', 2], ['최고', 2], ['친절', 2], ['이벤트', 1], ['ㅠ', -1], ['실수', -1]]",7,7,1.0
444,"[['최고', 2]]",1,2,2.0
445,"[['친구', 1]]",1,1,1.0
449,"[['감동', 2], ['재미', 2], ['최고', 2], ['기대', 1]]",4,7,1.75
450,"[['강추', 2], ['최고', 2], ['편안', 2], ['인정', 1], ['친구', 1], ['성', 0], ['후회', -2]]",7,6,0.8571428571428571
456,"[['감사', 2], ['만족', 2], ['할인', 1], ['혜택', 1]]",4,6,1.5
458,"[['감동', 2], ['감사', 2], ['감탄', 2], ['고급', 2], ['만족', 2], ['이득', 2], ['최고', 2], ['축하', 2], ['친절', 2], ['칭찬', 2], ['통쾌', 2], ['여유', 1], ['정', 1], ['친구', 1], ['필수', 1], ['할인', 1], ['혜택', 1], ['부족', -1], ['식상', -1], ['의심', -1], ['추운', -1], ['포기', -1], ['부담', -2], ['최악', -2]]",24,19,0.7916666666666666
460,"[['친절', 2], ['친구', 1], ['ㅠ', -1], ['더러움', -2]]",4,0,0.0
464,"[['최악', -2]]",1,-2,-2.0
465,"[['개선', 2], ['덕', 2], ['만족', 2], ['맛', 2], ['조화', 2], ['최고', 2], ['친절', 2], ['따름', 1], ['예의', 1], ['친구', 1], ['불편', -2], ['실망', -2], ['최악', -2], ['해', -2], ['화', -2]]",15,7,0.4666666666666667
468,"[['조화', 2], ['최고', 2], ['친절', 2], ['수선', -1], ['병', -2], ['불편', -2], ['최악', -2]]",7,-1,-0.14285714285714285
470,"[['만족', 2], ['맛', 2], ['친절', 2], ['편안', 2], ['기대', 1], ['합리적', 1], ['피', 0], ['걱정', -2]]",8,8,1.0
472,"[['강추', 2], ['최고', 2], ['여유', 1], ['최상', 1], ['친구', 1], ['ㅜ', -1]]",6,6,1.0
473,"[['사모', 2]]",1,2,2.0
474,"[['사랑', 2], ['최고', 2], ['진실', 1], ['짐', -1]]",4,4,1.0
478,"[['강추', 2], ['맛', 2], ['최고', 2], ['친절', 2], ['가치', 1], ['대상', 1], ['호의적', 1], ['ㅜ', -1], ['불편', -2], ['실망', -2]]",10,6,0.6
